Date,4IG.BD,ADID.BD,AKKO.BD,ALTEO.BD,AMIXA.BD,ANY.BD,APPEN.BD,ASTRA.BD,AUTOW.BD,BASF.BD,BAYER.BD,BET.BD,BIF.BD,BMW.BD,CIG.BD,CIVTA.BD,COMMB.BD,DBANK.BD,DELTA.BD,DHS.BD,DMKER.BD,DTEL.BD,ENEFI.BD,EON.BD,EPDUF.BD,EPROI.BD,ESENT.BD,FUTUR.BD,GLSTR.BD,GRNT.BD,GSP.BD,HENK.BD,INFIN.BD,KERMN.BD,LUFTH.BD,MAST.BD,MBH.BD,MBHJ.BD,MERC.BD,MGKR.BD,MOL.BD,MTEL.BD,NAP.BD,NATUR.BD,NAVIG.BD,NORD.BD,NUTEX.BD,OPUS.BD,ORM.BD,OTP.BD,OXOTH.BD,PERGY.BD,PLYDR.BD,PNSUM.BD,RABA.BD,RICHT.BD,SAP.BD,SPPC.BD,STRT.BD,THYSS.BD,UBM.BD,VERTI.BD,VIG.BD,VVT.BD,VWPR.BD,WABS.BD,WIZZ.BD,ZWACK.BD,^BUX.BD
2024-04-30,810.0,,245.0,3527.988525390625,470.0,3437.846435546875,,,,19180.0,10790.0,3689.166748046875,584.0,41493.79296875,,,,,37.400001525878906,,30.200000762939453,,189.0,4923.49560546875,,,,,,,,,,,,,,,,,2911.116943359375,,1024.1802978515625,,,,14.149999618530272,367.9522705078125,,17654.849609375,,,,,1305.0,,65997.8046875,,1070.0,,1430.0,,11558.6279296875,180.0,,,,22707.69140625,
2024-05-31,804.0,,275.0,3790.0,440.0,3992.034912109375,,,,18922.0,10908.0,3669.75,490.0,35700.0,,,,,72.19999694824219,,31.799999237060547,,216.0,4764.0,,,,,,,,,,,,,,,,,2790.0,,1297.295166015625,,,,14.350000381469728,370.3858337402344,,17310.0,,,,,1345.0,,64810.0,,976.0,,1480.0,,11800.0,175.0,,,,22234.615234375,
2024-06-28,785.0,,280.0,4200.0,466.0,4057.7861328125,,,,18000.0,10440.0,3890.0,510.0,35500.0,,,,,80.19999694824219,,34.599998474121094,,242.0,4802.0,,,,,,,,,,,,,,,,,2878.0,,1316.8033447265625,,,,14.300000190734863,433.5,,18325.0,,,,,1305.0,,64810.0,,1100.0,,1500.0,,11660.0,160.0,,,,23370.0,
2024-07-31,789.0,,277.0,4730.0,470.0,4280.0,,,,17000.0,11038.0,5700.0,540.0,34100.0,,,,,78.80000305175781,,36.59999847412109,,228.0,5112.0,,,,,,,,,,,,,,,,,2838.0,,1394.8360595703125,,,,14.449999809265137,437.0,,18645.0,,,,,1310.0,,75740.0,,940.0,,1460.0,,11660.0,210.0,,,,24900.0,
2024-08-30,765.0,,268.0,4600.0,420.0,4280.0,,,,16750.0,10856.0,,518.0,33000.0,,,,,72.5999984741211,,33.79999923706055,,220.0,4905.0,,,,,,,,,,,,,,,,,2694.0,,1248.524658203125,,,,19.0,450.0,,18290.0,,,,,1285.0,,77820.0,,928.0,,1500.0,,11660.0,216.0,,,,24100.0,
2024-09-30,802.0,,308.0,4340.0,410.0,4240.0,,,,18768.0,12130.0,,453.0,31670.0,,,,,70.0,,35.0,,210.0,5200.0,,,,,,,,,,,,,,,,,2668.0,,1121.7213134765625,,,,18.899999618530277,508.0,,18660.0,,,,,1255.0,,76220.0,,840.0,,1430.0,,11220.0,230.0,,,,24000.0,
2024-10-31,804.0,,323.0,4330.0,386.0,4230.0,,,,18500.0,10200.0,5540.0,522.0,29600.0,,,,,72.0,,32.0,,216.0,5024.0,,,,,,,,,,,,,,,,,2604.0,,1121.7213134765625,,,,18.649999618530277,524.0,,18680.0,,,,,1265.0,,84850.0,,790.0,,1480.0,,11220.0,230.0,,,,24300.0,
2024-11-29,792.0,,340.0,4060.0,438.0,4330.0,,,,17396.0,7915.0,6540.0,506.0,28600.0,,,,,68.5999984741211,,32.79999923706055,,234.0,4965.0,,,,,,,,,,,,,,,,,2678.0,,1180.2459716796875,,,,17.850000381469727,502.0,,21170.0,,,,,1295.0,,90500.0,,828.0,,1470.0,,12440.0,230.0,,,,24500.0,
2024-12-30,924.0,,341.0,4050.0,402.0,4160.0,,,,17506.0,7936.0,6760.0,500.0,32400.0,,,,,62.59999847412109,,34.0,,222.0,4648.0,,,,,,16000.0,,,,,,,,,,,2730.0,,1150.983642578125,,,,21.799999237060547,505.0,,21690.0,,,,,1260.0,,98000.0,,866.0,,1260.0,,11540.0,250.0,,,,25100.0,
2025-01-31,1380.0,,340.0,5500.0,418.0,4600.0,,,,19500.0,8902.0,,540.0,33000.0,,,,,70.0,,34.0,,252.0,4665.0,,,,,,14500.0,,,,,,,,,,,2878.0,,1150.983642578125,,,,21.799999237060547,542.0,,24350.0,,,,,1510.0,,109850.0,,900.0,,1400.0,,13120.0,298.0,,,,26800.0,
2025-02-28,1598.0,,337.0,5760.0,386.0,4870.0,,,,19970.0,9195.0,9200.0,566.0,33630.0,,,,,69.0,,32.79999923706055,,274.0,4896.0,,,,,,14288.0,,,,,,,,,,,2880.0,,1200.0,,,,21.5,590.0,,23790.0,,,,,1465.0,,126000.0,,920.0,,1380.0,,13820.0,298.0,,,,27900.0,
2025-03-31,1640.0,,337.0,6440.0,390.0,6180.0,,,,18300.0,8844.0,8220.0,500.0,30000.0,,,,,58.400001525878906,,31.200000762939453,,244.0,5590.0,,,,,,14500.0,,,,,,,,,,,2930.0,,1100.0,,,,20.799999237060547,549.0,,25000.0,,,,,1700.0,,99120.0,,1010.0,,1280.0,,16280.0,294.0,,,,30800.0,
