Ticker,mean,std,Return,Risk,sharpe,Name
HEIMAR.IC,0.04611317596473579,0.057589467501847444,71.77,0.199,0.8007223883995194,Heimar hf.
KALD.IC,0.04743306303186518,0.061949924243834754,74.39,0.215,0.7656678133320834,Kaldalón hf.
FESTI.IC,0.04184309470114381,0.05515529975616764,63.54,0.191,0.7586414158952111,Festi hf.
SIMINN.IC,0.03602209832253773,0.052210053832358924,52.91,0.181,0.6899456269131795,Síminn hf.
KVIKA.IC,0.03556753420121708,0.055437180583561965,52.1,0.192,0.641582667567395,Kvika banki hf.
HAGA.IC,0.03111432165706618,0.050518470503435456,44.44,0.175,0.6158999143679594,Hagar hf
REITIR.IC,0.031609653825382215,0.05767065258831865,45.27,0.2,0.548106400859158,Reitir fasteignafélag hf.
EIM.IC,0.026860938355428556,0.05630753370027299,37.45,0.195,0.47703986643084545,Eimskipafélag Íslands hf.
SJOVA.IC,0.024709536464746315,0.05420451384230757,34.03,0.188,0.4558575423558193,Sjóvá-Almennar tryggingar hf.
NOVA.IC,0.013700436441766951,0.03921095466263829,17.74,0.136,0.3494032869039339,Nova Klúbburinn hf.
EIK.IC,0.023048327082263797,0.06734581354728363,31.45,0.233,0.34223845356150495,Eik fasteignafélag hf.
SKAGI.IC,0.028126816651793694,0.09340477595383916,39.5,0.324,0.30112824922029713,Skagi hf.
ISB.IC,0.017281050633210546,0.05802261204551185,22.83,0.201,0.297833034811594,Íslandsbanki hf.
ARION.IC,0.013890676137896012,0.05333610083832662,18.0,0.185,0.2604366633399334,Arion banki hf.
OCS.IC,0.04166184398218407,0.19010116798732457,63.2,0.659,0.21915617049213482,Oculis Holding AG
AMRQ.IC,0.01855427632361919,0.11672030189452948,24.68,0.404,0.15896357379528678,Amaroq Minerals Ltd.
SKEL.IC,0.012543231730810738,0.08151763474206326,16.13,0.282,0.15387138955270013,Skel fjárfestingafélag hf.
ICEAIR.IC,0.014755773438778241,0.1489893774782268,19.22,0.516,0.09903909720634035,Icelandair Group hf.
OLGERD.IC,-0.0007633503985192642,0.022699439698277764,-0.91,0.079,-0.03362860091111326,Ölgerðin Egill Skallagrímsson hf.
ICESEA.IC,-0.01017290393428108,0.050884452448164606,-11.55,0.176,-0.19992165474599727,Iceland Seafood International hf.
BRIM.IC,-0.010494336530648312,0.048382964418248395,-11.89,0.168,-0.21690147879178334,Brim hf.
JBTM.IC,-0.07347415541976576,0.06609500950980865,-59.98,0.229,-1.1116445245213564,JBT Marel Corporation
